h_booking_id,booking_datetime,checkin_date,checkout_date,hotel_id,hotel_country_code,hotel_live_date,hotel_star_rating,accommadation_type_name,charge_option,h_customer_id,customer_nationality,guest_is_not_the_customer,guest_nationality_country_name,no_of_adults,no_of_children,no_of_extra_bed,no_of_room,origin_country_code,language,original_selling_amount,original_payment_method,original_payment_type,original_payment_currency,is_user_logged_in,cancellation_policy_code,is_first_booking,request_nonesmoke,request_latecheckin,request_highfloor,request_largebed,request_twinbeds,request_airport,request_earlycheckin,cancellation_datetime,hotel_area_code,hotel_brand_code,hotel_chain_code,hotel_city_code
7863509377732896119,2018-07-07 22:59:00,2018-07-21 00:00:00,2018-07-24 00:00:00,611370,TH,2014-04-21 15:59:00,3.0,Hotel,Pay Now,5623658857583660077,Indonesia,0,Indonesia,4,0,0,2,ID,English,96.16,JCB,Credit Card,IDR,True,1D1N_1N,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1651,,,2649
8045351093579886263,2018-07-03 22:29:00,2018-07-08 00:00:00,2018-07-10 00:00:00,187005,PH,2010-06-24 07:38:00,3.0,Hotel,Pay Now,5944990113715210079,Philippines,0,Philippines,2,0,0,1,PH,English,77.36,PayPal,Credit Card,PHP,False,1D1N_1N,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,5001,,,2310
-8384333440485195750,2018-08-02 16:54:00,2018-08-03 00:00:00,2018-08-04 00:00:00,305919,TH,2012-05-08 20:03:00,3.0,Hotel,Pay Now,635742665239380053,Australia,0,Australia,2,0,0,1,TH,English,16.81,PayPal,Credit Card,THB,True,3D1N_100P,False,,,,,,,,,2213,,,447
8534990389478023968,2018-06-08 06:38:00,2018-07-24 00:00:00,2018-07-28 00:00:00,3020828,US,2017-10-30 10:03:00,4.0,Hotel,Pay Now,45704429900190076,United States of America,0,United States,2,0,0,1,US,English,2128.0,MasterCard,Credit Card,USD,False,1D100P,True,,,,,,,,,5462,403.0,242.0,1682
1888504216837635361,2018-09-19 14:28:00,2018-09-19 00:00:00,2018-09-20 00:00:00,2830358,TH,2017-09-25 16:02:00,2.5,Hotel,Pay Now,6222121192938750017,Thailand,0,Thailand,2,0,0,1,TH,Thai,11.72,K PLUS,Credit Card,THB,False,365D100P_100P,False,,,,,,,,,1086,,,2477
8923066818812174599,2018-08-16 04:07:00,2018-08-16 00:00:00,2018-08-18 00:00:00,89273,AE,2009-06-28 02:02:00,4.0,Hotel,Pay Now,6485697813425690068,Oman,1,Oman,2,0,0,1,OM,English,82.84,Visa,Credit Card,OMR,True,365D100P_100P,False,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,2215,914.0,25.0,417
964497984112633749,2018-09-12 12:12:00,2018-09-21 00:00:00,2018-09-24 00:00:00,2639477,JP,2017-08-22 15:36:00,2.0,Guest House / Bed & Breakfast,Pay Later,3625679743191340092,Brazil,0,Brazil,1,0,0,1,JP,Portuguese / Brazil,75.03,MasterCard,Credit Card,JPY,True,2D100P_100P,False,,,,,,,,2018-09-16,643,,,2249
1485273293401764364,2018-08-28 19:25:00,2018-09-03 00:00:00,2018-09-05 00:00:00,237296,VN,2010-09-22 07:08:00,3.5,Hotel,Pay Now,331485556130490068,Vietnam,0,Vietnam,4,1,0,2,VN,Vietnamese,129.96,Visa,Credit Card,VND,True,365D100P_100P,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1274,,,482
-6633821190617394954,2018-08-05 12:03:00,2018-08-11 00:00:00,2018-08-12 00:00:00,547769,TH,2013-11-28 14:05:00,3.5,Hotel,Pay Now,6841900728708550059,Thailand,0,Thailand,4,4,0,2,TH,Thai,95.6,MasterCard,Credit Card,THB,True,365D100P_100P,False,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,2966,,,188
-7876620935559766846,2018-08-08 06:12:00,2018-08-08 00:00:00,2018-08-09 00:00:00,1164255,ES,2016-03-10 18:21:00,4.0,Hotel,Pay Now,5704336549392980024,Spain,1,Spain,2,0,0,1,ES,Spanish,86.9,Apple Pay,Credit Card,EUR,False,365D100P_100P,False,,,,,,,,,3156,655.0,622.0,953
7071908113315708322,2018-09-07 23:13:00,2018-09-12 00:00:00,2018-09-15 00:00:00,445217,DE,2013-03-20 22:00:00,0.0,Hostel,Pay Now,9139447801967430017,Hong Kong,1,Hong Kong,2,0,0,2,HK,T.Chinese / Hongkong,222.42,Visa,Credit Card,HKD,False,1D1N_1N,True,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,4663,,,1935
8621368350130815496,2018-07-25 01:16:00,2018-07-25 00:00:00,2018-07-26 00:00:00,6452,HK,2009-06-28 02:02:00,4.0,Hotel,Pay Now,3476281626457240062,China,1,China,2,0,0,1,CN,S.Chinese / Mainland,160.12,Alipay,Credit Card,CNY,False,3D1N_1N,False,,,,,,,,,1192,,,142
